loc,size,total_nodes
1350361,565579,3491870
1352104,566318,3494409
1352464,566509,3495176
1352657,566596,3495580
1352840,566658,3495982
1353042,566721,3496452
1353274,566787,3497045
1353493,566853,3497587
1353717,566931,3498189
1353995,567039,3498966
1354232,567103,3499572
1354392,567150,3499883
1354600,567205,3500376
1354845,567278,3501005
1355040,567348,3501459
1355285,567490,3502114
1355502,567600,3502665
1355892,567670,3503537
1356054,567721,3503858
1356218,567758,3504192
1356413,567851,3504652
1356628,567951,3505194
1356887,568121,3505913
1357133,568242,3506616
1357322,568325,3507063
1357583,568434,3507800
1357779,568501,3508278
1358003,568592,3508861
1358187,568643,3509264
1358370,568688,3509671
1358511,568722,3509914
1358661,568765,3510199
1359211,568973,3511477
1359771,569332,3512749
1360256,569668,3513822
1360493,569721,3514404
1360701,569794,3514862
1360861,569856,3515171
1361021,569922,3515449
1361184,569994,3515771
1361368,570057,3516168
1361592,570170,3516666
1361845,570255,3517356
1362234,570343,3518604
1362428,570414,3519022
1362550,570465,3519184
1362686,570541,3519402
1363287,571021,3520599
1363468,571092,3520952
1363680,571200,3521423
1363856,571309,3521738
1364046,571417,3522053
1364184,571482,3522244
1364354,571554,3522598
1364558,571612,3523067
1365173,572144,3524988
1365350,572243,3525366
1365507,572314,3525671
1365657,572390,3525954
1365812,572454,3526234
1366230,572593,3527567
1366465,572727,3528033
1366681,572793,3528519
1366904,572896,3528962
1367060,572956,3529235
1367181,572989,3529389
1367323,573037,3529598
1367484,573093,3529900
1367650,573160,3530236
1367920,573235,3530936
1368121,573288,3531390
1368324,573352,3531823
1368615,573487,3532517
1368788,573565,3532854
1368939,573636,3533107
1369102,573710,3533425
1369270,573785,3533760
1369416,573836,3534012
1369681,573923,3534708
1369873,574000,3535124
1370027,574077,3535394
1370211,574149,3535780
1370466,574226,3536417
1370639,574271,3536762
1370832,574356,3537155
1371029,574422,3537600
1371253,574486,3538127
1371449,574558,3538513
1371695,574667,3539092
1372026,574811,3539905
1372283,574887,3540561
1373189,575593,3542606
1373635,575695,3544027
1373776,575750,3544264
1373986,575832,3544770
1374157,575898,3545108
1374302,575962,3545358
1374517,576069,3545800
1374718,576139,3546221
1374982,576210,3546911
1375244,576299,3547565
1375430,576352,3547975
1375597,576410,3548311
1375767,576484,3548636
1376275,576600,3549792
1376732,576902,3550999
1377228,577180,3552196
1378725,577743,3555275
1380077,578271,3558034
1380348,578291,3558455
1380727,578384,3558989
1381861,579034,3562576
1382306,579210,3563311
1382971,579407,3564213
1383672,579825,3566204
1384151,580193,3567874
1384701,580653,3569880
1385115,580914,3571268
1385408,581002,3572337
1385546,581052,3572704
1385693,581102,3573099
1385851,581161,3573585
1386027,581215,3574178
1386154,581254,3574493
1386266,581301,3574763
1386402,581358,3575193
1386539,581441,3575629
1386680,581505,3575991
1387604,581909,3578769
1388677,582265,3581905
1389768,582686,3584985
1390015,582837,3585640
1390593,583058,3587478
1391452,583478,3589831
1392134,583763,3591437
1393331,584571,3594313
1393711,584766,3595302
1395337,585551,3600241
1396889,586400,3604722
1397631,586768,3606510
1398267,587085,3608306
1398479,587128,3608571
1398590,587146,3608797
1399091,587310,3610015
1399612,587434,3611238
1400620,588023,3613906
1401959,588680,3617540
1402434,588945,3618585
1403172,589323,3620183
1403754,589696,3621951
1404749,590122,3624323
1405891,590582,3627731
1407153,591040,3631495
1407973,591349,3633915
1409415,591992,3638014
1409768,592159,3638578
