loc,uniq_libs,total_libs
163905,129,1186
163922,129,1187
163964,129,1188
164055,129,1189
164152,129,1190
164247,129,1191
164598,129,1192
164626,129,1193
165040,129,1194
165059,129,1196
165072,129,1197
165117,129,1198
165146,129,1198
165162,129,1199
165177,129,1200
165232,130,1202
165269,130,1203
165337,130,1204
165405,130,1204
165471,130,1204
165539,130,1204
165574,130,1205
165730,130,1205
165752,130,1206
165776,130,1207
165838,130,1207
165956,130,1208
166077,130,1209
166407,130,1209
166542,130,1209
166807,130,1209
166917,130,1210
167113,130,1210
167231,130,1210
167304,130,1210
167363,130,1210
167456,130,1210
167521,130,1210
167571,130,1210
167638,130,1210
167777,130,1210
167944,130,1210
168004,130,1210
168198,130,1210
168261,130,1210
168308,130,1210
168368,130,1210
168643,130,1212
168706,130,1212
168806,130,1212
168883,130,1212
168978,130,1213
169248,130,1213
169585,130,1213
169734,130,1213
169802,130,1213
169898,130,1213
170053,130,1213
170142,130,1213
170176,130,1213
170190,132,1216
170274,132,1218
170352,132,1220
170572,132,1222
170650,132,1225
170693,132,1228
170754,132,1230
170838,132,1232
170875,132,1235
170924,132,1238
170974,132,1240
171039,132,1242
171091,132,1244
171147,132,1246
171216,132,1248
171357,132,1250
171409,132,1252
171531,132,1254
171611,132,1255
171663,132,1257
171715,132,1259
171819,132,1261
171900,132,1263
171965,132,1265
172041,132,1268
172098,132,1270
172179,132,1272
172261,132,1274
172333,132,1276
172430,132,1278
172444,132,1278
172471,132,1278
172753,132,1280
172775,132,1280
172780,132,1280
172804,132,1284
172839,132,1284
172996,132,1284
173090,132,1284
173124,132,1284
173148,132,1284
173154,133,1285
173158,133,1285
173159,133,1285
173262,133,1285
173362,134,1286
173432,134,1286
173474,134,1286
173504,134,1286
173521,134,1286
173560,134,1286
173609,134,1286
173617,134,1286
173976,134,1286
174365,134,1288
174427,134,1288
174459,134,1288
174551,134,1288
174585,134,1288
174668,134,1288
174727,134,1288
174767,134,1293
174891,134,1295
174943,134,1302
175018,134,1302
175047,134,1302
175253,134,1302
175313,135,1304
175353,135,1304
175435,135,1306
175470,135,1306
175568,135,1306
175571,135,1306
175741,135,1322
175804,135,1324
175935,135,1325
175936,135,1326
175971,135,1329
176138,135,1330
176319,135,1330
176361,135,1332
176643,135,1332
176700,135,1333
176928,143,1349
177291,143,1351
177347,143,1353
177362,145,1360
177441,145,1360
177916,145,1360
178192,145,1360
178276,145,1360
178334,145,1360
