size,loc
69359,175255
69724,175680
69726,175683
69735,175696
69854,175847
69895,175919
69898,175928
69927,175952
69974,176031
70009,176063
70108,176249
70164,176357
70239,176507
70244,176516
70261,176552
70299,176615
70312,176636
70410,176765
70438,176813
70451,176833
70484,176898
70484,176903
70556,177055
70570,177079
70628,177162
70702,177291
70751,177364
70777,177388
70803,177408
70843,177478
70859,177509
70873,177538
70884,177573
70899,177609
70933,177680
70960,177744
70980,177788
70983,177798
70993,177821
71080,177931
71160,178088
71172,178110
71203,178176
71228,178225
71258,178262
71288,178314
71366,178471
71373,178511
71408,178561
71439,178599
71710,179115
71750,179197
71766,179230
71824,179327
72189,179974
72223,180012
72303,180142
72340,180191
72501,180459
72510,180491
72568,180636
72607,180690
72632,180743
72742,180852
72782,180924
72824,180983
72860,181042
72922,181122
72971,181217
73044,181328
73067,181371
73090,181414
73184,181552
73218,181627
73255,181713
73294,181780
73341,181858
73399,181939
73411,181965
73505,182172
73526,182221
73548,182252
73564,182289
73585,182329
73592,182361
73605,182412
73653,182562
73680,182598
73770,182703
73888,182848
73899,182859
73909,182872
73914,182881
73933,182907
73943,182937
73946,182962
73962,182987
73996,183028
73999,183037
74114,183179
74187,183238
74218,183269
74226,183281
74234,183294
74241,183303
74255,183316
74255,183319
74260,183324
74266,183332
74276,183346
74286,183357
74420,183522
74421,183525
74430,183537
74477,183594
74488,183615
74488,183635
74491,183640
74560,183691
74591,183730
74703,183850
74744,183922
74830,184038
74904,184095
74942,184163
74973,184231
75051,184310
75103,184355
75110,184374
75121,184402
75181,184472
75260,184563
75423,184755
75427,184770
75510,184873
75520,184926
75522,184934
75533,184952
75541,185060
75544,185078
75555,185102
75603,185205
75657,185269
75695,185318
75787,185403
75807,185427
75842,185462
75921,185532
75986,185622
76093,185744
76124,185815
76207,185895
76278,185992
76347,186077
76385,186135
76492,186289
76515,186314
76557,186378
76560,186395
76562,186412
76564,186429
76566,186446
76568,186463
76586,186492
76606,186516
76609,186529
76645,186580
76668,186632
76670,186645
76678,186661
76680,186674
76682,186687
76684,186700
76701,186723
76713,186742
76720,186764
76721,186767
76746,186799
76805,186883
76833,186950
76861,187007
76914,187088
77099,187414
77358,187831
77387,187860
77405,187924
77411,187931
77501,188073
77943,188749
78038,188857
78039,188860
78077,188906
78143,188979
78166,189010
78188,189041
78216,189078
78241,189101
78263,189132
78269,189187
78321,189251
78352,189292
78375,189353
78389,189403
78406,189452
78422,189503
78440,189546
78482,189611
78509,189644
78528,189675
78547,189706
78548,189712
78571,189751
78637,189818
78680,189883
78718,189940
78896,190203
79010,190358
79090,190481
79093,190488
79109,190516
79119,190527
79126,190548
79152,190576
79237,190775
79243,190795
79248,190806
79269,190846
79275,190862
79283,190879
79302,190901
79306,190921
79319,190940
79327,190960
79347,190997
79360,191032
79364,191041
79398,191075
79402,191090
79411,191105
79423,191135
79449,191161
79465,191183
