loc,size
1386527,581432
1386626,581480
1387015,581652
1387057,581659
1387493,581855
1387972,582033
1389678,582631
1389865,582748
1389920,582778
1389984,582819
1390115,582897
1390963,583231
1392159,583777
1392535,584058
1393388,584575
1395337,585551
1395784,585728
1396889,586400
1397281,586612
1397631,586768
1397850,586882
1397984,586949
1398230,587058
1398435,587126
1398583,587146
1398590,587146
1399538,587390
1400376,587996
1402422,588932
1402525,589013
1403236,589369
1403463,589524
1403860,589727
1403865,589731
1405891,590582
1406771,590906
1408139,591391
1409267,591839
1409663,592138
1410517,592286
1410564,592291
1411037,592396
1411117,592405
1411572,592497
1411660,592504
1411817,592518
1411851,592525
1413834,593082
1413903,593107
1413956,593122
1413983,593134
1414041,593147
1414181,593187
1414198,593213
1414236,593226
1414270,593236
1414402,593273
1415548,593515
1415892,593706
1416610,594046
