loc,send,const
103407,3238,1268
104444,3250,1268
105372,3264,1268
105703,3265,1269
105957,3269,1269
106349,3270,1270
106467,3270,1270
106656,3270,1271
106720,3270,1272
106977,3277,1272
107091,3277,1273
107215,3278,1274
107665,3281,1275
107881,3283,1276
108095,3283,1277
108269,3283,1278
108340,3283,1279
108393,3283,1280
108649,3288,1282
108822,3288,1282
109291,3290,1283
109335,3290,1284
109436,3291,1285
109712,3293,1286
110519,3294,1287
110946,3300,1288
111058,3301,1289
111271,3312,1290
111361,3312,1290
112168,3331,1291
112199,3331,1292
112348,3334,1293
112464,3334,1293
112542,3334,1294
112896,3337,1296
113095,3337,1297
113401,3339,1301
113969,3345,1302
113978,3345,1303
114065,3348,1310
114309,3358,1311
114333,3358,1312
114346,3358,1313
114364,3359,1314
114377,3359,1315
114390,3359,1316
114414,3359,1317
114432,3359,1318
114441,3359,1319
114673,3359,1320
114687,3359,1321
114717,3360,1322
114770,3361,1323
114798,3362,1324
114908,3362,1325
115146,3366,1326
115198,3366,1327
115305,3378,1328
115346,3379,1329
115402,3379,1330
115421,3379,1331
115460,3379,1332
115513,3379,1333
115613,3381,1334
115629,3381,1335
115725,3383,1336
115760,3383,1337
115858,3410,1338
115956,3410,1339
116009,3410,1340
116034,3410,1341
116069,3413,1342
116292,3414,1343
116463,3419,1344
116658,3419,1345
116674,3419,1346
116740,3419,1347
116765,3419,1348
116805,3419,1349
116839,3419,1350
116879,3422,1351
117129,3423,1352
117242,3425,1353
117377,3430,1354
117457,3438,1355
117516,3445,1356
117539,3445,1357
117635,3451,1358
117648,3451,1359
117661,3451,1360
117680,3452,1361
117689,3452,1362
117703,3452,1363
117716,3452,1364
117762,3457,1365
117823,3460,1366
117888,3466,1367
117957,3470,1368
118030,3475,1369
118121,3479,1370
118177,3481,1371
118211,3481,1372
118262,3482,1373
118313,3482,1374
118390,3482,1375
118450,3483,1376
118509,3483,1377
118556,3483,1378
118592,3483,1379
118667,3483,1380
118718,3483,1381
118772,3484,1382
118804,3484,1383
118869,3486,1384
118930,3486,1385
119061,3487,1386
119082,3487,1387
119131,3489,1388
119199,3494,1389
119256,3496,1390
119401,3497,1391
119455,3499,1392
119497,3499,1393
119630,3513,1394
119678,3516,1395
119735,3517,1396
119767,3518,1397
119809,3518,1398
119847,3518,1399
119922,3526,1400
119950,3526,1401
119989,3526,1402
120017,3526,1403
120026,3526,1404
120058,3526,1405
120083,3526,1406
120202,3526,1409
120211,3526,1410
120220,3526,1411
120230,3526,1412
120284,3527,1413
120294,3527,1414
120304,3527,1415
120358,3531,1416
120368,3531,1417
120392,3531,1418
120498,3534,1419
120514,3534,1420
120524,3534,1421
120534,3534,1422
120600,3536,1423
120611,3536,1424
120668,3536,1425
120692,3536,1426
120748,3536,1427
120780,3536,1428
120810,3536,1429
120842,3536,1430
120881,3536,1431
120890,3536,1432
120918,3536,1433
120946,3536,1434
120968,3536,1435
121068,3536,1436
121130,3537,1437
121168,3537,1438
121365,3555,1441
121448,3556,1443
121475,3559,1443
