loc,size,total_nodes,file
283252,122619,806872,data/asciidoctor/lib/asciidoctor/cli/options.rb
289272,125749,820112,data/asciidoctor/lib/asciidoctor/section.rb
297955,128777,842449,data/asciidoctor/test/links_test.rb
308431,130880,867148,data/asciidoctor/test/test_helper.rb
309343,131421,869741,data/attribution/test/test_helper.rb
309713,131720,870663,data/attrio/lib/attrio/default_value/symbol.rb
310000,131916,871358,data/attrio/lib/attrio/types/float.rb
310474,132230,872555,data/attrio/spec/unit/default_value/clonable_spec.rb
311046,132563,873922,data/attrio/spec/unit/types/float_spec.rb
312258,133238,876245,data/authlogic/lib/authlogic/acts_as_authentic/persistence_token.rb
312935,133603,877319,data/authlogic/lib/authlogic/crypto_providers/aes256.rb
313480,133857,878170,data/authlogic/lib/authlogic/regex.rb
314401,134364,879608,data/authlogic/lib/authlogic/session/klass.rb
315323,134832,881064,data/authlogic/lib/authlogic/session/unauthorized_record.rb
315941,135124,882169,data/authlogic/test/acts_as_authentic_test/logged_in_status_test.rb
316678,135634,884346,data/authlogic/test/crypto_provider_test/bcrypt_test.rb
316810,135748,884686,data/authlogic/test/libs/ordered_hash.rb
317351,136144,886217,data/authlogic/test/session_test/existence_test.rb
317930,136498,887790,data/authlogic/test/session_test/session_test.rb
318543,136821,889203,data/authority/lib/authority/user_abilities.rb
319569,137407,891484,data/authority/spec/authority/user_abilities_spec.rb
320215,137819,893005,data/automaticruby/lib/automatic.rb
320776,138130,894312,data/automaticruby/plugins/filter/sanitize.rb
321358,138454,895679,data/automaticruby/plugins/publish/hipchat.rb
321958,138758,897110,data/automaticruby/plugins/subscription/g_guide.rb
322521,139055,898604,data/automaticruby/spec/lib/automatic/recipe_spec.rb
323816,139416,901932,data/automaticruby/spec/plugins/filter/rand_spec.rb
324768,139705,904418,data/automaticruby/spec/plugins/publish/hipchat_spec.rb
325633,140021,906590,data/automaticruby/spec/plugins/subscription/link_spec.rb
326344,140375,908347,data/autoperf/make_replay_log.rb
327171,140808,910218,data/autumn/libs/channel_leaf.rb
329960,142024,915629,data/autumn/libs/leaf.rb
331960,142925,919573,data/awesome_print/init.rb
332323,143125,920291,data/awesome_print/lib/awesome_print/ext/active_support.rb
333342,143907,923285,data/awesome_print/spec/core_ext/string_spec.rb
335652,144970,929353,data/awesome_print/spec/spec_helper.rb
340615,146959,940615,data/aws/lib/ec2/mon_interface.rb
345855,148783,950978,data/aws/lib/sdb/sdb_interface.rb
347319,149365,953937,data/aws/test/http_connection.rb
348457,149996,957311,data/aws/test/ses/test_ses.rb
350613,151137,960815,data/aws-s3/lib/aws/s3/error.rb
352672,152164,964265,data/aws-s3/support/faster-xml-simple/lib/faster_xml_simple.rb
354214,153348,968553,data/aws-s3/test/extensions_test.rb
355523,154030,971538,data/aws-s3/test/remote/test_helper.rb
