loc,misses,hits,total,ratio
44253,10213,16178,109121,1.5840595319690591
44255,10215,16179,109133,1.5838472834067547
44665,10289,16262,109988,1.5805228885217222
44683,10293,16268,110034,1.5804915962304478
44865,10372,16338,110598,1.5752024681835712
44948,10393,16375,110828,1.5755797171172905
44973,10398,16381,110875,1.5753991152144644
45101,10445,16436,111183,1.5735758736237435
45231,10459,16515,111499,1.5790228511329956
45316,10482,16562,111690,1.5800419767219995
45400,10501,16632,111934,1.5838491572231217
45461,10525,16671,112142,1.5839429928741093
45528,10544,16703,112313,1.5841236722306524
45566,10557,16734,112431,1.5851094060812732
45663,10596,16820,112740,1.5873914684786712
45869,10649,16963,113333,1.5929195229599022
45957,10667,16997,113595,1.5934189556576357
46027,10677,17008,113683,1.5929568230776436
46069,10682,17012,113739,1.5925856581164577
46262,10746,17117,114380,1.5928717662386005
46307,10769,17141,114500,1.5916983935370044
46347,10772,17142,114544,1.5913479391013738
46500,10812,17224,115060,1.5930447650758417
46512,10817,17227,115104,1.5925857446611815
46523,10818,17227,115114,1.5924385283786282
46549,10835,17230,115181,1.5902168897092754
46916,10851,17257,115498,1.5903603354529536
46928,10863,17259,115552,1.588787627727147
46931,10864,17260,115561,1.5887334315169366
47023,10880,17282,115742,1.5884191176470588
47248,10923,17319,116048,1.5855534193902774
47255,10923,17326,116068,1.5861942689737252
47341,10940,17335,116151,1.5845521023765996
47342,10943,17338,116166,1.584391848670383
47370,10947,17344,116215,1.5843610121494474
47419,10959,17366,116322,1.5846336344556986
47424,10959,17366,116322,1.5846336344556986
47468,10971,17380,116429,1.5841764652265062
47510,10976,17383,116482,1.5837281341107872
47527,10979,17397,116532,1.5845705437653703
47543,10979,17397,116534,1.5845705437653703
47572,10996,17418,116633,1.584030556566024
47596,11001,17426,116711,1.584037814744114
47599,11001,17429,116718,1.5843105172257068
47649,11008,17448,116896,1.5850290697674418
47671,11012,17449,116939,1.5845441336723574
47712,11018,17451,117045,1.5838627700127066
47724,11020,17451,117064,1.5835753176043557
47764,11038,17484,117187,1.5839826055444828
48096,11131,17602,118356,1.5813493846015632
48119,11136,17607,118400,1.5810883620689655
48129,11138,17612,118422,1.5812533668522177
48144,11143,17619,118457,1.5811720362559454
48159,11143,17624,118486,1.581620748451943
